latent_dim,modality,orig_index,class_idx,class_name,PC1,PC2,PC3
128,PROT,711,10,macrophage,0.3834654,0.15991858,-0.044908147
128,PROT,712,12,monocyte,0.75395864,-0.45584905,0.1139444
128,PROT,713,12,monocyte,0.7616651,-0.46110132,0.13038357
128,PROT,714,12,monocyte,0.7560392,-0.44369197,0.14599492
128,PROT,715,10,macrophage,0.3723386,0.17303681,-0.03964008
128,PROT,716,10,macrophage,0.37286833,0.20005852,-0.041322466
128,PROT,717,12,monocyte,0.7587744,-0.45000252,0.13582759
128,PROT,718,10,macrophage,0.37410104,0.15838927,-0.042993594
128,PROT,719,10,macrophage,0.37821472,0.15703845,-0.04079916
128,PROT,720,12,monocyte,0.74737656,-0.44940904,0.13140403
128,PROT,721,12,monocyte,0.76698655,-0.43585,0.13483843
128,PROT,722,12,monocyte,0.8399217,-0.54779214,0.15383656
128,PROT,723,12,monocyte,0.7599525,-0.4292183,0.12592809
128,PROT,724,12,monocyte,0.7531182,-0.4531588,0.13285303
128,PROT,725,12,monocyte,0.7526256,-0.45434648,0.123203605
128,PROT,726,12,monocyte,0.75122106,-0.43672687,0.15063728
128,PROT,727,12,monocyte,0.7629398,-0.44683963,0.13988549
128,PROT,728,12,monocyte,0.7495477,-0.45315295,0.13940287
128,PROT,729,12,monocyte,0.83340305,-0.54145527,0.17862284
128,PROT,730,12,monocyte,0.7592957,-0.42429045,0.13178386
128,PROT,731,12,monocyte,0.8284229,-0.5371304,0.17548993
128,PROT,732,10,macrophage,0.3117072,0.28416747,-0.06653246
128,PROT,733,12,monocyte,0.76035786,-0.4380651,0.1275252
128,PROT,734,12,monocyte,0.7571786,-0.4358066,0.14142166
128,PROT,735,10,macrophage,0.41362205,0.19847733,-0.06901692
128,PROT,736,12,monocyte,0.8318184,-0.5208337,0.13060513
128,PROT,737,12,monocyte,0.7482146,-0.44055653,0.13436885
128,PROT,738,12,monocyte,0.8647826,-0.53534776,0.17995028
128,PROT,739,12,monocyte,0.75075686,-0.45312983,0.120741144
128,PROT,740,12,monocyte,0.80869603,-0.5300475,0.15465534
128,PROT,741,12,monocyte,0.75464463,-0.4401847,0.13586017
128,PROT,742,10,macrophage,0.3522557,0.17948148,-0.054941993
128,PROT,743,10,macrophage,0.36706328,0.16569337,-0.04831214
128,PROT,744,12,monocyte,0.7542059,-0.43748978,0.13796622
128,PROT,745,12,monocyte,0.75273883,-0.45890328,0.120673016
128,PROT,746,12,monocyte,0.8289026,-0.4912783,0.16715485
128,PROT,747,10,macrophage,0.3855673,0.13374612,-0.043726895
128,PROT,748,12,monocyte,0.75446296,-0.45268974,0.14439228
128,PROT,749,10,macrophage,0.4018736,0.20273498,-0.056768324
128,PROT,750,10,macrophage,0.74087685,-0.30089125,0.043279976
128,PROT,751,10,macrophage,0.37259632,0.16634032,-0.055392083
128,PROT,752,12,monocyte,0.76135385,-0.44853896,0.13120018
128,PROT,753,12,monocyte,0.7454184,-0.4464635,0.12041362
128,PROT,754,12,monocyte,0.76085067,-0.44511145,0.13007542
128,PROT,755,12,monocyte,0.75798476,-0.44362995,0.13984261
128,PROT,756,12,monocyte,0.7602095,-0.44297835,0.13834229
128,PROT,757,12,monocyte,0.8581244,-0.5286795,0.1404486
128,PROT,758,12,monocyte,0.85690475,-0.52726334,0.12941892
128,PROT,759,12,monocyte,0.7569067,-0.4367382,0.14504972
128,PROT,760,10,macrophage,0.38145387,0.16248214,-0.06746665
128,PROT,761,12,monocyte,0.7500677,-0.43845353,0.1496858
128,PROT,762,12,monocyte,0.7611223,-0.43900916,0.1357093
128,PROT,763,10,macrophage,0.3795684,0.13723505,-0.05035786
128,PROT,764,10,macrophage,0.39366904,0.16794583,-0.046804857
128,PROT,765,10,macrophage,0.35347492,0.16800731,-0.032669812
128,PROT,766,12,monocyte,0.7521409,-0.46259418,0.12847245
128,PROT,767,12,monocyte,0.82883346,-0.53665674,0.16052416
128,PROT,768,12,monocyte,0.7676252,-0.4501041,0.123074725
128,PROT,769,12,monocyte,0.7554591,-0.44400465,0.14058924
128,PROT,770,12,monocyte,0.83826745,-0.5102128,0.15221694
128,PROT,771,10,macrophage,0.36942494,0.17754081,-0.042884532
128,PROT,772,12,monocyte,0.8336241,-0.5317859,0.18695983
128,PROT,773,10,macrophage,0.39241222,0.1496664,-0.05679747
128,PROT,774,12,monocyte,0.75258946,-0.43758598,0.14597644
128,PROT,775,12,monocyte,0.74174625,-0.46803927,0.123178214
128,PROT,776,12,monocyte,0.7490067,-0.45539552,0.12898915
128,PROT,777,12,monocyte,0.75441426,-0.4605739,0.11718786
128,PROT,778,10,macrophage,0.37968162,0.13286436,-0.054544073
128,PROT,779,10,macrophage,0.38780314,0.17128688,-0.042842407
128,PROT,780,10,macrophage,0.37627903,0.17183194,-0.050711524
128,PROT,781,12,monocyte,0.75333554,-0.44727734,0.13347867
128,PROT,782,12,monocyte,0.8327527,-0.51125956,0.17177087
128,PROT,783,12,monocyte,0.7506258,-0.44135067,0.13315256
128,PROT,784,12,monocyte,0.75760156,-0.45324495,0.112593964
128,PROT,785,12,monocyte,0.75746393,-0.4431051,0.13985007
128,PROT,786,10,macrophage,0.37838703,0.1556746,-0.031316336
128,PROT,787,12,monocyte,0.743178,-0.47337854,0.114317045
128,PROT,788,12,monocyte,0.7625417,-0.43325466,0.12967415
128,PROT,789,10,macrophage,0.39634833,0.14212826,-0.0426119
128,PROT,790,10,macrophage,0.37659436,0.1725449,-0.044622425
128,PROT,791,10,macrophage,0.37363264,0.16816086,-0.05292618
128,PROT,792,12,monocyte,0.75717825,-0.4435765,0.1310043
128,PROT,793,12,monocyte,0.757648,-0.45737827,0.13204257
128,PROT,794,10,macrophage,0.5440569,0.0070818104,-0.024896901
128,PROT,795,12,monocyte,0.83042,-0.5526556,0.1562859
128,PROT,796,10,macrophage,0.39276555,0.1389496,-0.04711539
128,PROT,797,12,monocyte,0.7522702,-0.4358052,0.13759515
128,PROT,798,12,monocyte,0.814503,-0.5275814,0.14345112
128,PROT,799,12,monocyte,0.7620418,-0.45373362,0.13810228
128,PROT,800,12,monocyte,0.75945157,-0.4447932,0.13827609
128,PROT,801,10,macrophage,0.38928965,0.21125716,-0.060014967
128,PROT,802,10,macrophage,0.36403844,0.17381218,-0.03535578
128,PROT,803,12,monocyte,0.7525187,-0.44184077,0.14346948
128,PROT,804,12,monocyte,0.820415,-0.48295993,0.14427781
128,PROT,805,12,monocyte,0.7506269,-0.45380446,0.13968268
128,PROT,806,12,monocyte,0.7665175,-0.4387919,0.14506908
128,PROT,807,12,monocyte,0.7404406,-0.4611732,0.13857602
128,PROT,808,12,monocyte,0.84557915,-0.5218798,0.15594903
128,PROT,809,12,monocyte,0.76176167,-0.44258457,0.13389944
128,PROT,810,10,macrophage,0.37406182,0.17208433,-0.047279585
128,PROT,811,12,monocyte,0.8152855,-0.4850375,0.13076349
128,PROT,812,12,monocyte,0.7468176,-0.45192844,0.13946627
128,PROT,813,12,monocyte,0.77235067,-0.43654335,0.13681865
128,PROT,814,12,monocyte,0.7415748,-0.46446925,0.11049366
128,PROT,815,12,monocyte,0.75828093,-0.44282362,0.12734602
128,PROT,816,12,monocyte,0.7468929,-0.44009688,0.13988686
128,PROT,817,10,macrophage,0.3797326,0.17657804,-0.06601769
128,PROT,818,12,monocyte,0.7509272,-0.445189,0.13477656
128,PROT,819,12,monocyte,0.75413036,-0.44110793,0.13461515
128,PROT,820,12,monocyte,0.7563509,-0.4529046,0.13036183
128,PROT,821,10,macrophage,0.38573098,0.15778917,-0.030106705
128,PROT,822,12,monocyte,0.76437753,-0.44885197,0.12763248
128,PROT,823,12,monocyte,0.83434546,-0.506721,0.13835691
128,PROT,824,12,monocyte,0.84605646,-0.55287635,0.12959611
128,PROT,825,10,macrophage,0.3786221,0.16511214,-0.051542472
128,PROT,826,12,monocyte,0.75731945,-0.44978034,0.12430751
128,PROT,827,12,monocyte,0.7441735,-0.4544282,0.12851056
128,PROT,828,12,monocyte,0.8202307,-0.5325315,0.16261603
128,PROT,829,12,monocyte,0.7632699,-0.44832295,0.1295806
128,PROT,830,10,macrophage,0.39068234,0.16691115,-0.054579947
128,PROT,831,12,monocyte,0.76529086,-0.43258274,0.12976477
128,PROT,832,12,monocyte,0.8564441,-0.5285316,0.14809017
